GAME_DATE_EST,GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-03-21,22000645,Final,1610612748,1610612754,2020,1610612748,106.0,0.402,0.826,0.243,27.0,51.0,1610612754,109.0,0.388,0.9,0.333,27.0,50.0,0
2021-03-20,22000641,Final,1610612755,1610612758,2020,1610612755,129.0,0.558,0.759,0.478,24.0,51.0,1610612758,105.0,0.459,0.63,0.357,28.0,34.0,1
2021-03-19,22000631,Final,1610612738,1610612758,2020,1610612738,96.0,0.429,0.857,0.387,22.0,45.0,1610612758,107.0,0.457,0.808,0.4,22.0,45.0,0
